,p,indegree,algorithm,Precision_causality,Recall_causaltity,F1_causality,Precision_latent,Recall_latent,F1_latent,mse,time
0,0.1,1,LFOICA,0.8353174603174602,0.59,0.6806900272070551,0.38666666666666666,0.5333333333333333,0.38888888888888895,0.169847164019755,34.403135657310486
,,,,0.7928499278499278,0.6399999999999999," 0.6573386496544392",0.32000000000000006,0.4666666666666666,0.2785714285714286,0.17629077612527008,21.147535538673402
,,,,,,,,,,,
1,0.1,1.5,LFOICA,0.8127156177156177,0.44000000000000006,0.5494635734635734,0.2833333333333333,0.36666666666666664,0.22948717948717948,0.19460359065703176,33.650030446052554
,,,,0.8067249417249418,0.48666666666666664,0.5790571728466466,0.05,0.1333333333333333,0.07222222222222222,0.19644179762034716,20.86329686641693
,,,,,,,,,,,
2,0.1,2,LFOICA,0.7267170376922698,0.52,0.5783745559321785,0.03333333333333333,0.1,0.05,0.2592058077446534,33.55425004959106
,,,,0.7439776077895273,0.51,0.5906519901681191,0.06428571428571428,0.2333333333333333,0.09722222222222222,0.2618427744633453,20.7283198595047
,,,,,,,,,,,
3,0.1,2.5,LFOICA,0.7244527994527995,0.472,0.5265261312159988,0.23333333333333334,0.19999999999999998,0.19444444444444448,0.37540152024631956,33.84028220176697
,,,,0.7733373734109029,0.516,0.581973529963282,0.13333333333333333,0.13333333333333333,0.1,,
,,,,,,,,,,,
4,0.1,3,LFOICA,0.6306032011466793,0.4666666666666666,0.5199476328524157,0.0,0.0,0.0,0.37488080918696404,34.338948130607605
,,,,0.7812124650711607,0.48,0.569890721675187,0.03333333333333333,0.1,0.05,0.475150117033472,20.700535130500793
,,,,,,,,,,,
5,0.2,1,LFOICA,0.8883333333333333,0.37,0.5081410256410256,0.4949572649572649,0.7000000000000001,0.5447190090611144,0.17171972409681097,45.023827695846556
,,,,0.7719047619047619,0.41000000000000003,0.4781410256410257,0.4083333333333334,0.5333333333333333,0.404920634920635,0.1589705443533784,32.68069291114807
,,,,,,,,,,,
6,0.2,1.5,LFOICA,0.7815476190476189,0.38,0.4890813595252954,0.31775350140056025,0.5916666666666667,0.3244675865909986,0.24166532592035356,46.212623429298404
,,,,0.7482769423558897,0.3866666666666667,0.46268241730527926,0.38734185169669044,0.575,0.35628794207741576,0.24302042108642197,32.1314736366272
,,,,,,,,,,,
7,0.2,2,LFOICA,0.6384053265575005,0.315,0.4011670786764608,0.21212454212454213,0.35,0.23454191033138402,0.33949324546047316,43.3258416891098
,,,,0.6374747474747474,0.305,0.3849207896051974,0.3033,0.3833,0.2957,0.3237910413467749,32.462522530555724
,,,,,,,,,,,
8,0.2,2.5,LFOICA,0.5907936507936509,0.22400000000000003,0.31493093271989403,0.07928571428571429,0.25833333333333336,0.1136038961038961,0.2679520399560884,43.97838146686554
,,,,0.76218167701863,0.2880000000,0.40003339140,0.076336996,0.25,0.108819207108680,0.35722601563509,31.30180547237396
,,,,,,,,,,,
9,0.2,3,LFOICA,0.5572223047737921,0.38,0.4211902291544346,0.11822344322344322,0.4833333333333334,0.15741418764302056,0.6409128731138012,48.569655013084414
,,,,0.48826007326007,0.263333333333,0.3072564943289,0.05,0.075,0.060000000000000,0.59328398803067,30.703296184539795
,,,,,,,,,,,
10,0.3,1,LFOICA,0.861111111111111,0.48,0.594071911061075,0.3516666666666667,0.3622222222222222,0.34661718398560504,0.1843318731311504,94.76343703269958
,,,,0.877777777,0.5,0.61427125,0.52727272727272,0.408888888888888,0.413570931991984,0.2058966701123749,88.1200642108917
,,,,,,,,,,,
11,0.3,1.5,LFOICA,0.6461294261294261,0.31333333333333335,0.3914442746795688,0.20476190476190476,0.22857142857142856,0.20704032809295966,0.20546956182496615,89.79907302856445
,,,,0.856227106227,0.37333333333333,0.4829602415128,0.3577922077922,0.29682539682539,0.279140274929,0.247444761600218,86.10137462615967
,,,,,,,,,,,
