,p,indegree,algorithm,Precision_causality,Recall_causaltity,F1_causality,Precision_latent,Recall_latent,F1_latent,mse,time
0,0.1,1,LFOICA,0.7928499278499278,0.6399999999999999,0.6573386496544392,0.32000000000000006,0.4666666666666666,0.2785714285714286,0.17629077612527008,21.147535538673402
1,0.1,1.5,LFOICA,0.8067249417249418,0.48666666666666664,0.5790571728466466,0.05,0.13333333333333333,0.07222222222222222,0.19644179762034716,20.86329686641693
2,0.1,2,LFOICA,0.7439776077895273,0.51,0.5906519901681191,0.06428571428571428,0.2333333333333333,0.09722222222222222,0.2618427744633453,20.7283198595047
3,0.1,2.5,LFOICA,0.7733373734109029,0.516,0.581973529963282,0.13333333333333333,0.13333333333333333,0.1,0.3605113467615317,20.621531772613526
4,0.1,3,LFOICA,0.7812124650711607,0.48,0.569890721675187,0.03333333333333333,0.1,0.05,0.475150117033472,20.700535130500793
5,0.2,1,LFOICA,0.7719047619047619,0.41000000000000003,0.4781410256410257,0.4083333333333334,0.5333333333333333,0.404920634920635,0.1589705443533784,32.68069291114807
6,0.2,1.5,LFOICA,0.7482769423558897,0.3866666666666667,0.46268241730527926,0.38734185169669044,0.575,0.35628794207741576,0.24302042108642197,32.1314736366272
7,0.2,2,LFOICA,0.6374747474747474,0.30500000000000005,0.38492078960519743,0.30333333333333334,0.38333333333333336,0.2957539682539682,0.32379104134677494,32.462522530555724
8,0.2,2.5,LFOICA,0.7621816770186335,0.2880000000000001,0.4000333914053426,0.07633699633699634,0.25,0.10881920710868079,0.3572260156350997,31.301805472373964
9,0.2,3,LFOICA,0.4882600732600733,0.26333333333333336,0.3072564943289977,0.05,0.075,0.06000000000000001,0.5932839880306776,30.703296184539795
10,0.3,1,LFOICA,0.8777777777777779,0.5,0.6142712550607287,0.5272727272727272,0.40888888888888886,0.41357093199198464,0.20589667011237492,88.12006421089173
11,0.3,1.5,LFOICA,0.8562271062271062,0.3733333333333334,0.4829602415128731,0.3577922077922078,0.2968253968253968,0.2791402749297486,0.2474447616002184,86.10137462615967
12,0.3,2,LFOICA,0.6675757575757575,0.29,0.3967132996777045,0.14675324675324675,0.15714285714285714,0.15079365079365079,0.2359332014450842,83.55652160644532
13,0.3,2.5,LFOICA,0.589561403508772,0.20400000000000001,0.28471449930652964,0.1420833333333333,0.13999999999999999,0.1311685416033242,0.28992178235160043,83.64199469089507
14,0.3,3,LFOICA,0.554192670075023,0.24333333333333335,0.33354148160257185,0.09112833403155983,0.18730158730158725,0.11457905177986313,0.3373996497905648,79.76419358253479
15,0.4,1,LFOICA,0.8429112554112553,0.43,0.5473586870645695,0.4154216073781291,0.41,0.3324458484984801,0.20654928040398338,286.2460280895233
16,0.4,1.5,LFOICA,0.8416666666666668,0.25333333333333335,0.3661813581267747,0.3634695476936856,0.305,0.24197206302469457,0.1980408622126536,266.779594540596
17,0.4,2,LFOICA,0.6028571428571429,0.165,0.2451096681096681,0.2706926406926407,0.14333333333333334,0.16377472201001614,0.29910867592249674,254.74771716594697
18,0.4,2.5,LFOICA,0.49030303030303035,0.196,0.27533143981419844,0.14392844857241144,0.16499999999999998,0.1384920634920635,0.25930729044900974,249.50201642513275
19,0.4,3,LFOICA,0.6148717948717949,0.25000000000000006,0.3443420249001644,0.2163040683605566,0.31166666666666665,0.22342694342694344,0.37323515289266596,238.40606858730317
20,0.5,1,LFOICA,0.875,0.32,0.4562770562770563,0.48580086580086573,0.24731934731934735,0.28879870129870133,0.16126356174711617,973.4930996656418
21,0.5,1.5,LFOICA,0.7514285714285714,0.21999999999999997,0.3286268143621085,0.40698333924140373,0.2655322455322456,0.22618749067024932,0.21908136712186105,894.7886768579483
22,0.5,2,LFOICA,0.6347619047619047,0.22000000000000003,0.3182797768680122,0.1753846153846154,0.0794094794094794,0.10105661881977672,0.2218936092530021,828.2825540304184
23,0.5,2.5,LFOICA,0.7505916305916307,0.332,0.44972179053574396,0.22370202261506605,0.4343589743589744,0.2186642048508174,0.4131604972449706,805.2822496891022
24,0.5,3,LFOICA,0.4355555555555556,0.19333333333333333,0.26293956043956046,0.1611111111111111,0.31313131313131315,0.18285714285714286,0.2752702871793917,785.4733568191529
