p,indegree,algorithm,Precision_causality,Recall_causaltity,F1_causality,Precision_latent,Recall_latent,F1_latent,mse,time
0.1,1,ParceLiNGAM,0.693006022,0.92,0.782342122,0.1,0.033333333,0.05,0.091465871,70.02559311
0.1,1.5,ParceLiNGAM,0.652266756,0.9,0.750403969,0.1,0.033333333,0.05,0.091645289,70.70264039
0.1,2,ParceLiNGAM,0.659790753,0.88,0.751599415,0.1,0.033333333,0.05,0.091397628,72.74577045
0.1,2.5,ParceLiNGAM,0.680583243,0.86,0.757842203,0.1,0.033333333,0.05,0.093007639,75.06289041
0.1,3,ParceLiNGAM,0.7126987,0.84,0.770293995,0.1,0.033333333,0.05,0.095872195,70.47060509
0.2,1,ParceLiNGAM,0.584183725,0.94,0.715581489,0.1,0.025,0.04,0.101020071,69.42392001
0.2,1.5,ParceLiNGAM,0.593596901,0.886666667,0.707048931,0.1,0.025,0.04,0.103033914,70.06379147
0.2,2,ParceLiNGAM,0.616864841,0.835,0.706443921,0,0,0,0.101368339,68.70798767
0.2,2.5,ParceLiNGAM,0.616644875,0.796,0.69291456,0.1,0.025,0.04,0.104272246,69.26889453
0.2,3,ParceLiNGAM,0.583247453,0.703333333,0.636980836,0,0,0,0.11974919,69.03163254
0.3,1,ParceLiNGAM,0.535384882,0.92,0.667476802,0,0,0,0.10510479,73.71779778
0.3,1.5,ParceLiNGAM,0.562256154,0.853333333,0.67473985,0,0,0,0.110245816,74.17451425
0.3,2,ParceLiNGAM,0.601946207,0.84,0.698282708,0,0,0,0.108765074,72.18723986
0.3,2.5,ParceLiNGAM,0.571914099,0.8,0.666857716,0,0,0,0.110346713,72.7577487
0.3,3,ParceLiNGAM,0.604583704,0.71,0.652251277,0,0,0,0.131588724,71.28166211
0.4,1,ParceLiNGAM,0.468225421,0.89,0.606148171,0,0,0,0.11538947,77.36784122
0.4,1.5,ParceLiNGAM,0.516056606,0.86,0.64153513,0,0,0,0.11872445,75.71481347
0.4,2,ParceLiNGAM,0.49297513,0.77,0.597206725,0,0,0,0.119543779,79.77666583
0.4,2.5,ParceLiNGAM,0.56412391,0.76,0.64517902,0,0,0,0.123565767,74.23098116
0.4,3,ParceLiNGAM,0.515877895,0.636666667,0.568877954,0,0,0,0.126906918,77.25777407
0.5,1,ParceLiNGAM,0.433890124,0.85,0.567620087,0,0,0,0.117822724,77.71747952
0.5,1.5,ParceLiNGAM,0.484464279,0.806666667,0.601063572,0,0,0,0.11976081,75.39528151
0.5,2,ParceLiNGAM,0.552369892,0.795,0.647723608,0,0,0,0.125690212,73.79218767
0.5,2.5,ParceLiNGAM,0.549736544,0.736,0.627819419,0,0,0,0.129095456,76.11593492
0.5,3,ParceLiNGAM,0.617133618,0.703333333,0.656470527,0,0,0,0.126076709,73.42746477
