,p,indegree,algorithm,Precision_causality,Recall_causaltity,F1_causality,Precision_latent,Recall_latent,F1_latent,mse,time
0,0.1,1,RCD,0.628418218,0.978888889,0.739004723,0.379047619,0.716666667,0.479090909,0.016144358,9.137436056
1,0.1,1.5,RCD,0.525608725,0.971904762,0.672580065,0.305674603,0.866666667,0.445353535,0.035630429,13.01589341
2,0.1,2,RCD,0.469633161,0.946164431,0.623507424,0.278571429,0.916666667,0.423636364,0.064668408,11.38190444
3,0.1,2.5,RCD,0.461409531,0.923898551,0.607995302,0.297222222,1,0.454545455,0.107878788,12.17798655
4,0.1,3,RCD,0.480690206,0.896223317,0.62237247,0.288888889,1,0.445454545,0.136271481,8.969838786
5,0.2,1,RCD,0.484922439,0.965,0.621071807,0.259404762,0.76,0.376855109,0.031175279,9.829911327
6,0.2,1.5,RCD,0.369046006,0.951923077,0.521591012,0.298214286,1,0.455891199,0.077860551,11.17228403
7,0.2,2,RCD,0.413329524,0.930070089,0.568697132,0.265178571,0.935,0.410682589,0.09950023,8.898380733
8,0.2,2.5,RCD,0.442495375,0.929056089,0.597673789,0.275,1,0.429674185,0.133125919,5.26066606
9,0.2,3,RCD,0.492718741,0.907901099,0.638167748,0.275,1,0.429674185,0.197028339,2.818804407
10,0.3,1,RCD,0.53522191,0.94781746,0.665897282,0.283333333,0.723809524,0.399871403,0.03710146,7.282715178
11,0.3,1.5,RCD,0.444749228,0.885529471,0.586329473,0.280952381,0.985714286,0.43325641,0.091176822,5.910766172
12,0.3,2,RCD,0.429982896,0.918396359,0.581872555,0.280952381,1,0.43525641,0.173829154,4.680054522
13,0.3,2.5,RCD,0.489704397,0.925004177,0.638630767,0.280952381,1,0.43525641,0.282733186,2.053770494
14,0.3,3,RCD,0.505279341,0.914285714,0.650337331,0.280952381,1,0.43525641,0.450026926,4.688286734
15,0.4,1,RCD,0.528968254,0.969047619,0.671409104,0.362083333,0.755357143,0.473210684,0.047978402,5.42293117
16,0.4,1.5,RCD,0.481136269,0.949166667,0.633073379,0.348333333,0.98,0.509120235,0.098455616,4.346009111
17,0.4,2,RCD,0.459796328,0.916520147,0.611672259,0.35,1,0.514610431,0.170270629,1.796458912
18,0.4,2.5,RCD,0.509003831,0.98,0.669656454,0.35,1,0.514610431,0.400453227,0.43950634
19,0.4,3,RCD,0.503448276,0.96,0.659766344,0.35,1,0.514610431,0.483562117,0.115696883
20,0.5,1,RCD,0.511502631,0.98,0.654776262,0.386666667,0.883636364,0.52648797,0.060298407,2.933022785
21,0.5,1.5,RCD,0.445929487,0.889920635,0.587070216,0.398333333,0.952727273,0.554656468,0.097868697,3.172144198
22,0.5,2,RCD,0.503333333,0.907777778,0.645857143,0.38,1,0.548910852,0.164891362,0.592741609
23,0.5,2.5,RCD,0.5,0.91,0.643681319,0.38,1,0.548910852,0.252617746,0.002688909
24,0.5,3,RCD,0.5,0.91,0.643681319,0.38,1,0.548910852,0.252617746,0.002584791
